name,start_utc,end_utc,format
LoD 2027, 2027-09-01T00:00:00Z, 2027-11-01T00:00:00Z, League
LoD 2027 Knockout, 2027-11-01T00:00:00Z, 2027-12-31T00:00:00Z, Knockout
